ENTERPRISE,CONTACT_NAME,EMAIL,LANG,TEMPLATE_ID,CUSTOM_LINE,SUBJECT,ATTACH_CV,ATTACH_COVER,STATUS,SCHEDULED_SEND_AT,LAST_SENT_AT,NEXT_FOLLOWUP_AT,THREAD_ID
IQUA,General Contact,info@iquarobotics.com,EN,company_data,I am interested in applying data analysis and modelling to robotics and engineering datasets.,Application — Data analysis internship (summer),PauMonterosa.pdf,,DRAFTED,,2026-03-04T23:13:12+00:00,2026-03-12T23:13:12+00:00,r-1605992609502856081
HIPRA,Recruitment Team,recruitment@hipra.com,EN,company_data,I am particularly interested in applying data analysis to biomedical and pharmaceutical datasets.,Application — Data analysis / biostatistics,PauMonterosa.pdf,,SCHEDULED,2026-03-05T09:15:00+00:00,,,
IOMED,Data Science Team,info@iomed.health,EN,company_data,I am particularly interested in clinical data analysis and real-world evidence datasets.,Application — Data analysis (health data),PauMonterosa.pdf,,SCHEDULED,2026-03-05T14:30:00+00:00,,,
Mediktor,Corporate Contact,info@mediktor.com,EN,company_data,I am interested in applying quantitative modelling and data analysis to healthcare AI systems.,Application — Data analysis / AI healthcare,PauMonterosa.pdf,,SCHEDULED,2026-03-10T09:15:00+00:00,,,
BSC,Recruitment Team,recruitment@bsc.es,EN,lab_pi,I am interested in applying data analysis and machine learning to scientific datasets.,Application — Data analysis internship,PauMonterosa.pdf,,SCHEDULED,2026-03-10T14:30:00+00:00,,,
IDIBGI,Research Coordination,info@idibgi.org,CA,lab_pi,Sóc estudiant d’Enginyeria Física de Girona interessat en anàlisi de dades biomèdiques.,Col·laboració en anàlisi de dades — estiu / TFG,PauMonterosa.pdf,CoverLetter_Joan_Cognom_IDIBGI.pdf,SCHEDULED,2026-03-11T09:15:00+00:00,,,
VHIR,Research Office,vhir@vhir.org,EN,lab_pi,I am interested in contributing to biomedical data analysis projects.,Research collaboration — data analysis,PauMonterosa.pdf,,SCHEDULED,2026-03-11T14:30:00+00:00,,,
ISGlobal,HR Team,info@isglobal.org,EN,lab_pi,I am interested in applying quantitative modelling to epidemiological datasets.,Research collaboration — data science,PauMonterosa.pdf,,SCHEDULED,2026-03-12T09:15:00+00:00,,,
IDIBAPS,Research Coordination,info@idibaps.org,EN,lab_pi,I am interested in biomedical data analysis and computational modelling.,Research collaboration — data science,PauMonterosa.pdf,,SCHEDULED,2026-03-12T14:30:00+00:00,,,
Evidenze,Recruitment Team,careers@evidenze.com,EN,cro_clinical,I am interested in clinical data analysis and biostatistics applied to clinical research.,Application — Clinical data / biostatistics,PauMonterosa.pdf,,SCHEDULED,2026-03-17T09:15:00+00:00,,,
